Publication Year,,,Open Access Is Oa,,,Primary Topic Id,,,Authorships Institutions Lineage,,,Type,,
name,count,,name,count,,name,count,,name,count,,name,count,
2026,512891,,true,909048,,Artificial Intelligence in Healthcare and Education,70687,,University of London,8903,,article,632005,
2025,362487,,false,415283,,Ethics and Social Impacts of AI,62101,,Centre National de la Recherche Scientifique,6774,,preprint,205090,
2024,160971,,,,,AI in Service Interactions,29284,,Chinese Academy of Sciences,6648,,conference-paper,183363,
2023,87189,,,,,Explainable Artificial Intelligence (XAI),18686,,Harvard University,5036,,book-chapter,93638,
2022,51688,,,,,Big Data and Business Intelligence,15757,,Stanford University,4364,,other,37253,
2021,43252,,,,,Online Learning and Analytics,14428,,Alphabet (United States),4195,,dataset,30225,
2020,35798,,,,,Digital Transformation in Industry,11880,,Google (United States),4125,,dissertation,26725,
2019,25660,,,,,Smart Agriculture and AI,11037,,Government of India,4064,,report,19664,
2018,18234,,,,,Adversarial Robustness in Machine Learning,9615,,SRM Institute of Science and Technology,3932,,conference-abstract,18421,
2017,13857,,,,,Topic Modeling,9040,,University College London,3857,,software,18242,
2016,12261,,,,,Blockchain Technology Applications and Security,8317,,Tsinghua University,3663,,book,17537,
2027,23,,,,,Intelligent Tutoring Systems and Adaptive Learning,8150,,University of Oxford,3517,,review,16930,
2028,10,,,,,Military Technology and Strategies,7529,,United States Department of Energy,3369,,peer-review,6120,
2029,3,,,,,Network Security and Intrusion Detection,7299,,Saveetha University,3240,,editorial,6029,
2036,2,,,,,Radiomics and Machine Learning in Medical Imaging,7199,,University of Toronto,3197,,paratext,5253,
2045,2,,,,,Scientific Computing and Data Management,7065,,Peking University,3001,,reference-entry,1909,
2030,1,,,,,COVID-19 diagnosis using AI,6899,,Helmholtz Association of German Research Centres,2994,,supplementary-materials,1274,
2031,1,,,,,AI in cancer detection,6859,,Film Independent,2977,,erratum,1166,
2035,1,,,,,"Law, AI, and Intellectual Property",6710,,National University of Singapore,2884,,book-review,871,
,,,,,,IoT and Edge/Fog Computing,6644,,Chandigarh University,2863,,standard,730,
,,,,,,Embodied and Extended Cognition,6630,,Shanghai Jiao Tong University,2853,,letter,669,
,,,,,,Artificial Intelligence in Healthcare,6303,,Google DeepMind (United Kingdom),2810,,data-paper,517,
,,,,,,Impact of AI and Big Data on Business and Society,6157,,Istituti di Ricovero e Cura a Carattere Scientifico,2809,,retraction,457,
,,,,,,Digital Mental Health Interventions,5900,,Zhejiang University,2806,,software-paper,149,
,,,,,,"FinTech, Crowdfunding, Digital Finance",5869,,Mass General Brigham,2759,,libguides,94,
,,,,,,Machine Learning in Healthcare,5190,,University of Hong Kong,2756,,,,
,,,,,,AI and HR Technologies,5091,,University of Washington,2710,,,,
,,,,,,Machine Learning in Materials Science,5089,,Massachusetts Institute of Technology,2703,,,,
,,,,,,Computational Drug Discovery Methods,5003,,Mayo Clinic,2674,,,,
,,,,,,Privacy-Preserving Technologies in Data,4785,,University of Cambridge,2665,,,,
,,,,,,Artificial Intelligence in Law,4697,,Renewable Energy Systems (United Kingdom),2626,,,,
,,,,,,Multimodal Machine Learning Applications,4647,,Renewable Energy Systems (United States),2620,,,,
,,,,,,Teaching and Learning Programming,4298,,Prompt (Canada),2616,,,,
,,,,,,Advanced Neural Network Applications,4283,,Carnegie Mellon University,2612,,,,
,,,,,,Digital Economy and Work Transformation,4203,,Cornell University,2587,,,,
,,,,,,Stock Market Forecasting Methods,4161,,Johns Hopkins University,2563,,,,
,,,,,,Misinformation and Its Impacts,4085,,Amity University,2539,,,,
,,,,,,Smart Cities and Technologies,4045,,Symbiosis International University,2506,,,,
,,,,,,Retinal Imaging and Analysis,4039,,Imperial College London,2489,,,,
,,,,,,Computational and Text Analysis Methods,3930,,New York University,2471,,,,
,,,,,,Natural Language Processing Techniques,3858,,Nanyang Technological University,2413,,,,
,,,,,,Technology-Enhanced Education Studies,3842,,Office of Science,2388,,,,
,,,,,,Human-Automation Interaction and Safety,3812,,Inserm,2345,,,,
,,,,,,Internet of Things and AI,3773,,University of Michigan,2334,,,,
,,,,,,Artificial Intelligence in Games,3751,,Lovely Professional University,2325,,,,
,,,,,,Software System Performance and Reliability,3656,,Vellore Institute of Technology University,2303,,,,
,,,,,,Generative Adversarial Networks and Image Synthesis,3474,,Artificial Intelligence in Medicine (Canada),2291,,,,
,,,,,,Digital Marketing and Social Media,3468,,Chinese University of Hong Kong,2264,,,,
,,,,,,Multi-Agent Systems and Negotiation,3413,,University of Florida,2157,,,,
,,,,,,"Computability, Logic, AI Algorithms",3393,,Binus University,2151,,,,
,,,,,,Advanced Memory and Neural Computing,3362,,Monash University,2130,,,,
,,,,,,Software Engineering Research,3250,,Board of the Swiss Federal Institutes of Technology,2129,,,,
,,,,,,Artificial Intelligence Applications,3206,,Government of the Republic of Korea,2129,,,,
,,,,,,BIM and Construction Integration,3097,,Sun Yat-sen University,2098,,,,
,,,,,,"Innovation, Sustainability, Human-Machine Systems",3077,,Technical University of Munich,2065,,,,
,,,,,,Anomaly Detection Techniques and Applications,3075,,Microsoft (United States),2049,,,,
,,,,,,Brain Tumor Detection and Classification,2958,,Russian Academy of Sciences,2039,,,,
,,,,,,Dental Radiography and Imaging,2918,,United States Department of Health and Human Services,2033,,,,
,,,,,,Cloud Computing and Resource Management,2902,,Graphic Era University,2030,,,,
,,,,,,Space Science and Extraterrestrial Life,2808,,King's College London,2012,,,,
,,,,,,Emotion and Mood Recognition,2786,,Georgia Institute of Technology,2010,,,,
,,,,,,AI-based Problem Solving and Planning,2755,,University of Illinois Urbana-Champaign,2004,,,,
,,,,,,Cutaneous Melanoma Detection and Management,2753,,Fraunhofer-Gesellschaft,2000,,,,
,,,,,,Information and Cyber Security,2725,,Design Intelligence (United States),1999,,,,
,,,,,,Supply Chain Resilience and Risk Management,2713,,University of Bologna,1989,,,,
,,,,,,Educational and Social Studies,2662,,University of Chicago,1964,,,,
,,,,,,Reinforcement Learning in Robotics,2658,,Purdue University West Lafayette,1955,,,,
,,,,,,Educational Leadership and Innovation,2626,,"University of California, Berkeley",1949,,,,
,,,,,,EEG and Brain-Computer Interfaces,2540,,Chitkara University,1934,,,,
,,,,,,Educational Technology and Pedagogy,2533,,Hong Kong Polytechnic University,1933,,,,
,,,,,,Economic and Technological Innovation,2511,,Yale University,1927,,,,
,,,,,,Advanced Malware Detection Techniques,2504,,Fudan University,1914,,,,
